# wheel sector station super_layer layer wire local_x local_y local_z global_x global_y global_z phi eta length
-2 1 1 1 3 6 -81.4000 0.0000 11.1000 420.0750 -42.2800 -533.3500 -0.1003 -1.0559 234.8000
-2 1 1 1 3 7 -77.2000 0.0000 11.1000 420.0750 -38.0800 -533.3500 -0.0904 -1.0566 234.8000
-2 1 1 1 3 8 -73.0000 0.0000 11.1000 420.0750 -33.8800 -533.3500 -0.0805 -1.0573 234.8000
-2 1 1 1 3 9 -68.8000 0.0000 11.1000 420.0750 -29.6800 -533.3500 -0.0705 -1.0579 234.8000
-2 1 1 1 3 10 -64.6000 0.0000 11.1000 420.0750 -25.4800 -533.3500 -0.0606 -1.0584 234.8000
-2 1 1 1 3 11 -60.4000 0.0000 11.1000 420.0750 -21.2800 -533.3500 -0.0506 -1.0588 234.8000
-2 1 1 1 3 12 -56.2000 0.0000 11.1000 420.0750 -17.0800 -533.3500 -0.0406 -1.0592 234.8000
-2 1 1 1 3 13 -52.0000 0.0000 11.1000 420.0750 -12.8800 -533.3500 -0.0307 -1.0594 234.8000
-2 1 1 1 3 14 -47.8000 0.0000 11.1000 420.0750 -8.6800 -533.3500 -0.0207 -1.0596 234.8000
-2 1 1 1 3 15 -43.6000 0.0000 11.1000 420.0750 -4.4800 -533.3500 -0.0107 -1.0598 234.8000
-2 1 1 1 3 16 -39.4000 0.0000 11.1000 420.0750 -0.2800 -533.3500 -0.0007 -1.0598 234.8000
-2 1 1 1 3 17 -35.2000 0.0000 11.1000 420.0750 3.9200 -533.3500 0.0093 -1.0598 234.8000
-2 1 1 1 3 18 -31.0000 0.0000 11.1000 420.0750 8.1200 -533.3500 0.0193 -1.0597 234.8000
-2 1 1 1 3 19 -26.8000 0.0000 11.1000 420.0750 12.3200 -533.3500 0.0293 -1.0595 234.8000
-2 1 1 1 3 20 -22.6000 0.0000 11.1000 420.0750 16.5200 -533.3500 0.0393 -1.0592 234.8000
-2 1 1 1 3 21 -18.4000 0.0000 11.1000 420.0750 20.7200 -533.3500 0.0493 -1.0589 234.8000
-2 1 1 1 3 22 -14.2000 0.0000 11.1000 420.0750 24.9200 -533.3500 0.0593 -1.0584 234.8000
-2 1 1 1 3 23 -10.0000 0.0000 11.1000 420.0750 29.1200 -533.3500 0.0692 -1.0579 234.8000
-2 1 1 1 3 24 -5.8000 0.0000 11.1000 420.0750 33.3200 -533.3500 0.0792 -1.0574 234.8000
-2 1 1 1 3 25 -1.6000 0.0000 11.1000 420.0750 37.5200 -533.3500 0.0891 -1.0567 234.8000
-2 1 1 1 3 26 2.6000 0.0000 11.1000 420.0750 41.7200 -533.3500 0.0990 -1.0560 234.8000
-2 1 1 1 3 27 6.8000 0.0000 11.1000 420.0750 45.9200 -533.3500 0.1089 -1.0552 234.8000
-2 1 1 1 3 28 11.0000 0.0000 11.1000 420.0750 50.1200 -533.3500 0.1188 -1.0543 234.8000
-2 1 1 1 3 29 15.2000 0.0000 11.1000 420.0750 54.3200 -533.3500 0.1286 -1.0533 234.8000
-2 1 1 1 3 30 19.4000 0.0000 11.1000 420.0750 58.5200 -533.3500 0.1384 -1.0523 234.8000
-2 1 1 1 3 31 23.6000 0.0000 11.1000 420.0750 62.7200 -533.3500 0.1482 -1.0512 234.8000
